#,number,registered,added,voted,Turnout Rate,GD Rate,valid,invalid,The Party of Georgian Unity and Development,Coalition for Changes Gvaramia Melia Girchi Droa,Unity-National Movement,European Democrats,Alliance of Patriots of Georgia,"Strong Georgia - Lelo, For People, For Liberty!",Georgian Labour Party,Our United Georgia,Change Georgia,Sakartvelo,Free Georgia,Tribune,Chven,Gakharia for Georgia,Left-Wing Alliance,Unity of Georgian,Girchi,Georgian Dream,dirty
2618,00.65.25,868,5,577,0.66093929,0.3860252,571,6,1,58,53,0,9,16,1,0,0,0,0,3,1,84,1,1,6,337,
3062,00.84.14,342,3,228,0.660869565,0.411594203,224,4,0,5,48,2,3,13,0,1,0,1,0,0,0,8,0,0,1,142,
823,00.16.20,1479,10,984,0.660846206,0.374076561,964,20,3,73,156,3,32,82,1,1,2,0,2,0,0,32,0,5,15,557,
710,00.12.27,1363,5,904,0.660818713,0.408625731,885,19,0,52,99,6,24,73,4,1,2,0,0,0,0,52,2,2,9,559,
2836,00.79.53,1358,10,904,0.660818713,0.380116959,887,17,4,68,92,3,8,43,7,1,7,0,1,0,0,113,0,1,19,520,
550,00.09.65,1467,13,978,0.660810811,0.275675676,970,8,1,140,55,2,51,104,19,1,5,2,0,1,0,117,2,0,62,408,
706,00.12.23,2210,4,1463,0.660794941,0.42366757,1441,22,2,93,98,4,33,131,10,0,10,2,2,1,1,92,0,1,23,938,
1611,00.36.18,1656,3,1096,0.660638939,0.377938517,1090,6,5,91,96,3,37,97,8,0,10,6,3,2,1,83,0,8,13,627,
3008,00.83.01,1251,13,835,0.660601266,0.401898734,810,25,1,32,95,2,14,51,3,2,2,1,2,2,2,79,1,1,12,508,
505,00.09.20,1302,15,870,0.660592255,0.280941534,864,6,4,117,46,3,22,121,12,1,4,0,1,2,2,112,0,0,47,370,
123,00.02.31,2069,14,1376,0.660585694,0.32981277,1363,13,5,168,80,4,49,137,15,0,6,1,4,0,1,150,1,4,51,687,
3067,00.84.19,213,5,144,0.660550459,0.45412844,140,4,0,7,14,2,0,11,0,0,0,0,0,0,0,7,0,0,0,99,
2641,00.66.13,1409,5,934,0.660537482,0.381895332,919,15,3,120,72,8,17,69,3,0,1,0,1,2,1,59,1,3,19,540,
797,00.15.25,745,12,500,0.660501982,0.461030383,494,6,1,28,57,2,5,33,1,0,2,0,0,0,0,11,0,1,4,349,
2275,00.57.09,313,8,212,0.660436137,0.420560748,211,1,0,10,42,0,0,14,1,0,0,0,0,1,0,4,0,1,3,135,
2105,00.51.41,942,3,624,0.66031746,0.402116402,612,12,2,64,44,5,14,41,1,1,2,3,3,1,3,40,0,1,7,380,
2034,00.50.23,777,6,517,0.660280971,0.544061303,509,8,1,6,19,1,12,13,0,0,3,0,0,0,0,21,0,0,7,426,
2127,00.52.19,256,3,171,0.66023166,0.44015444,170,1,0,23,21,1,2,7,0,0,0,0,0,0,0,1,0,0,1,114,
860,00.17.28,1176,10,783,0.660202361,0.349915683,775,8,5,95,116,1,19,58,7,0,6,0,0,0,1,31,0,2,19,415,
1637,00.37.20,708,4,470,0.66011236,0.349719101,465,5,1,67,65,5,3,46,3,1,1,0,1,0,0,17,0,1,5,249,
476,00.08.31,1301,14,868,0.660076046,0.274524715,863,5,1,113,47,3,26,125,14,0,11,0,1,0,3,96,0,1,61,361,
805,00.16.02,1280,11,852,0.659953524,0.387296669,835,17,0,63,87,2,29,56,6,0,6,1,3,2,1,56,0,1,22,500,
2231,00.56.14,387,7,260,0.659898477,0.543147208,258,2,1,5,11,1,8,10,0,0,0,2,0,0,0,1,0,0,5,214,
3038,00.83.31,826,9,551,0.65988024,0.391616766,518,33,1,23,90,5,5,20,2,0,1,0,2,1,0,36,0,1,4,327,
2209,00.55.19,288,6,194,0.659863946,0.479591837,193,1,0,15,26,0,2,5,0,0,0,1,1,0,0,1,0,0,1,141,
430,00.07.26,1943,12,1290,0.659846547,0.260358056,1277,13,1,191,103,4,43,178,20,3,1,4,1,1,1,142,0,2,73,509,
1650,00.38.05,1010,7,671,0.659783677,0.520157325,664,7,2,22,36,1,2,33,2,1,1,1,0,0,0,20,0,6,8,529,
1953,00.48.09,667,3,442,0.659701493,0.523880597,432,10,1,13,17,1,17,23,0,0,1,1,0,0,0,5,0,0,2,351,
602,00.10.36,1408,14,938,0.659634318,0.198312236,829,109,2,158,78,3,42,109,11,1,12,2,0,1,0,96,0,1,31,282,
1572,00.35.17,937,9,624,0.65961945,0.394291755,622,2,0,54,91,1,11,51,1,0,1,0,2,0,0,28,1,2,6,373,
1435,00.32.10,1192,15,796,0.65948633,0.353769677,788,8,0,91,58,6,14,74,8,1,3,1,0,1,0,81,0,3,20,427,
1736,00.40.52,617,2,408,0.659127625,0.602584814,403,5,2,5,19,1,0,0,2,0,0,0,0,0,0,0,0,1,0,373,
